Fecha,Casos nuevos con sintomas,Casos totales,Casos recuperados,Fallecidos,Casos activos,Casos nuevos sin sintomas,Casos nuevos totales,Casos activos por FD,Casos activos por FIS,Casos recuperados por FIS,Casos recuperados por FD,Casos confirmados recuperados,Casos activos confirmados,Casos probables acumulados,Casos activos probables,Casos nuevos sin notificar,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos nuevos confirmados por antigeno
03/06/2021,5715,1403101,,29598,44913,1874,8150,94790,44913,1328590,1278713,1327643,44913,270033,13425,561,37955,1147,1031
04/06/2021,5827,1411346,,29696,47051,1970,8273,95433,47051,1334599,1286217,1333631,47051,272135,13946,476,38950,1154,1022
05/06/2021,5959,1420266,,29816,47388,2186,8867,96853,47388,1343062,1293597,1342080,47388,274230,13980,722,40006,1165,1050
06/06/2021,5094,1427956,,29937,49356,2041,7768,98038,49356,1348663,1299981,1347676,49356,276280,14178,633,40877,1173,906
07/06/2021,4459,1434884,,30058,48596,1842,6958,99623,48596,1356230,1305203,1355224,48596,276850,13049,657,41472,1183,628
08/06/2021,3863,1440417,,30104,46874,1284,5568,100996,46874,1363439,1309317,1362431,46874,277375,11995,421,42063,1192,627
09/06/2021,4196,1445770,,30141,44757,837,5369,101152,44757,1370872,1314477,1369856,44757,279942,13113,336,43117,1201,1072
10/06/2021,5396,1453478,,30339,45774,1735,7716,100755,45774,1377365,1322384,1376335,45774,282369,13911,585,44042,1211,935
11/06/2021,5413,1461419,,30472,47777,2017,7972,100038,47777,1383170,1330909,1382124,47777,284342,14349,542,44951,1225,940
12/06/2021,5143,1468992,,30579,46337,1953,7624,99236,46337,1392076,1339177,1391016,46337,286303,14215,528,45810,1237,911
13/06/2021,4984,1476473,,30707,45506,1951,7529,98966,45506,1400260,1346800,1399187,45506,288034,13990,594,46587,1244,824
14/06/2021,4012,1482663,,30804,44217,1691,6234,98317,44217,1407642,1353542,1406555,44217,288622,12795,531,47154,1258,613
15/06/2021,3213,1487239,,30865,41868,1098,4607,97882,41868,1414506,1358492,1413414,41868,289261,11809,296,47688,1263,564
16/06/2021,3574,1491561,,30922,39176,574,4347,96588,39176,1421463,1364051,1420365,39176,291867,12681,199,48598,1268,937
17/06/2021,4620,1498231,,31140,39698,1575,6683,95130,39698,1427393,1371961,1426275,39698,293912,12928,488,49351,1274,767
18/06/2021,4542,1505001,,31259,41091,1741,6770,93655,41091,1432651,1380087,1431515,41091,295672,13024,487,50065,1325,762
19/06/2021,4224,1511275,,31392,39834,1611,6263,91009,39834,1440049,1388874,1439182,39834,297309,12654,428,50796,1366,754
20/06/2021,3935,1517018,,31513,38630,1416,5753,89062,38630,1446875,1396443,1445703,38630,298903,12512,402,51429,1409,678
21/06/2021,3452,1522223,,31645,37284,1336,5252,87339,37284,1453294,1403239,1452108,37284,299242,11200,464,51894,1416,514
22/06/2021,2419,1525663,,31690,36114,829,3464,85246,36114,1457859,1408727,1456672,36114,299720,10200,216,52245,1424,373
23/06/2021,2165,1528409,,31746,32507,436,2768,82639,32507,1464156,1414024,1462966,32507,300412,9378,167,52733,1430,513
24/06/2021,2760,1531872,,31797,30735,515,3448,78394,30735,1469340,1421681,1468137,30735,302750,10069,173,53472,1463,752
25/06/2021,3933,1537471,,32012,31897,1338,5628,76052,31897,1473562,1429407,1472337,31897,304333,10255,357,54038,1469,596
26/06/2021,3540,1542642,,32163,30389,1334,5208,73650,30389,1480090,1436829,1478841,30389,305641,9832,334,54563,1485,566
27/06/2021,3032,1547103,,32298,29118,1228,4488,70630,29118,1485687,1444175,1484410,29118,306818,9608,228,54986,1491,450
28/06/2021,2596,1551137,,32454,27847,1192,4075,68474,27847,1490836,1450209,1489537,27847,307170,8625,287,55281,1500,338
29/06/2021,1827,1553774,,32489,25688,579,2648,66535,25688,1495597,1454750,1494284,25688,307484,7743,242,55589,1507,320
30/06/2021,1676,1555902,,32545,23242,354,2148,64341,23242,1500115,1459016,1498792,23242,307959,7072,118,55924,1510,355
01/07/2021,2033,1558557,,32588,22224,493,2677,60326,22224,1503745,1465643,1502411,22224,309735,7656,151,56441,1516,540
02/07/2021,2825,1562613,,32809,22739,1017,4086,57612,22739,1507065,1472192,1505708,22739,311036,7810,244,56819,1520,405
03/07/2021,2659,1566461,,32973,22809,1030,3880,55186,22809,1510679,1478302,1509297,22809,312097,7669,191,57227,1532,443
04/07/2021,2253,1569784,,33103,21709,907,3368,52766,21709,1514972,1483915,1513495,21709,313057,7415,208,57578,1540,396
05/07/2021,1803,1572608,,33249,20647,811,2852,50385,20647,1518712,1488974,1517303,20647,313196,6519,238,57795,1546,248
06/07/2021,1309,1574465,,33288,18883,455,1885,48802,18883,1522294,1492375,1520879,18883,313462,5829,121,57992,1553,220
07/07/2021,1437,1576336,,33328,17357,359,1892,47927,17357,1525651,1495081,1524232,17357,314963,6396,96,58377,1555,404
08/07/2021,2160,1579591,,33514,17590,853,3193,47719,17590,1528487,1498358,1527050,17590,315893,6351,180,58735,1557,366
09/07/2021,1882,1582391,,33636,18027,832,2906,44920,18027,1530728,1503835,1529269,18027,316732,6355,192,58981,1569,279
10/07/2021,1748,1585160,,33767,17843,811,2696,42518,17843,1533550,1508875,1532078,17843,317378,6035,137,59226,1569,265
11/07/2021,1442,1587478,,33877,17043,737,2330,40375,17043,1536558,1513226,1535072,17043,317898,5887,151,59452,1579,241
12/07/2021,1310,1589623,,33980,16325,685,2160,38486,16325,1539318,1517157,1537815,16325,317531,5196,165,59596,1589,162
13/07/2021,910,1590887,,34016,14766,292,1278,37113,14766,1542105,1519758,1540595,14766,317583,4556,76,59746,1593,166
14/07/2021,966,1592130,,34049,13403,208,1227,36228,13403,1544678,1521853,1543171,13403,317752,4722,53,60012,1633,284
15/07/2021,1512,1594496,,34207,13569,680,2336,35939,13569,1546720,1524350,1545186,13569,318252,4505,144,60231,1634,244
16/07/2021,1301,1596549,,34309,13652,579,2031,33936,13652,1548588,1528304,1547042,13652,318575,4356,151,60396,1638,194
17/07/2021,1148,1598481,,34403,12863,623,1874,32020,12863,1551215,1532058,1549660,12863,319001,4054,103,60600,1641,221
18/07/2021,881,1599879,,34514,12671,437,1419,30095,12671,1552694,1535270,1551119,12671,319075,3549,101,60700,1642,118
19/07/2021,679,1600883,,34539,11575,265,1015,28275,11575,1554769,1538069,1553145,11575,319249,3098,71,60810,1647,123
20/07/2021,625,1601858,,34569,10400,197,902,27393,10400,1556889,1539896,1555294,10400,319377,2764,80,60917,1651,128
21/07/2021,776,1602854,,34611,9461,173,989,26518,9461,1558782,1541725,1557199,9461,320191,3110,40,61187,1654,277
22/07/2021,1273,1604713,,34792,9647,491,1861,25122,9647,1560274,1544799,1558669,9647,320751,3172,97,61388,1654,215
23/07/2021,1112,1606358,,34875,9970,454,1656,23967,9970,1561513,1547516,1559891,9970,321118,3193,90,61566,1663,191
24/07/2021,954,1607749,,34958,9399,381,1407,22589,9399,1563392,1550202,1561758,9399,321595,3150,72,61748,1669,199
25/07/2021,948,1609177,,35026,9227,407,1446,21699,9227,1564924,1552452,1563280,9227,321957,3152,91,61887,1672,156
26/07/2021,723,1610345,,35119,8794,360,1185,20722,8794,1566432,1554504,1564777,8794,322080,2898,102,61989,1676,119
27/07/2021,527,1611090,,35151,8141,174,753,20203,8141,1567798,1555736,1566138,8141,322207,2696,52,62106,1678,124
28/07/2021,638,1611917,,35176,7842,158,828,19787,7842,1568899,1556954,1567236,7842,322787,2971,32,62323,1679,218
29/07/2021,916,1613288,,35295,8017,381,1383,18792,8017,1569976,1559201,1568294,8017,323155,2931,86,62475,1683,164
30/07/2021,882,1614629,,35366,8593,399,1355,18080,8593,1570670,1561183,1568981,8593,323504,2914,74,62587,1685,127
31/07/2021,762,1615771,,35448,8125,296,1152,17290,8125,1572198,1563033,1570492,8125,323818,2728,94,62743,1687,166
01/08/2021,756,1616942,,35528,7874,360,1185,17063,7874,1573540,1564351,1571788,7874,324091,2574,69,62856,1692,126
02/08/2021,584,1617852,,35616,7504,251,921,16969,7504,1574732,1565267,1573007,7504,324205,2324,86,62941,1695,96
03/08/2021,395,1618457,,35640,6914,173,616,16599,6914,1575903,1566218,1574176,6914,324344,2163,48,63006,1697,75
04/08/2021,505,1619183,,35671,6402,127,674,16329,6402,1577110,1567183,1575377,6402,324956,2464,42,63171,1702,169
05/08/2021,863,1620389,,35806,6591,287,1223,15676,6591,1577992,1568907,1576242,6591,324887,2514,73,63309,1705,157
06/08/2021,738,1621571,,35880,7125,343,1147,15213,7125,1578566,1570478,1576801,7125,325135,2433,66,63434,1716,137
07/08/2021,602,1622509,,35951,6804,284,940,14760,6804,1579754,1571798,1577982,6804,325477,2397,54,63528,1726,99
08/08/2021,452,1623363,,36016,6379,270,868,14186,6379,1580968,1573161,1579137,6379,325407,1963,146,63536,1730,21
09/08/2021,557,1624316,,36107,6261,241,871,13971,6261,1581948,1574238,1580173,6261,325902,2137,73,63689,1735,71
10/08/2021,309,1624823,,36138,5778,165,514,13733,5778,1582907,1574952,1581129,5778,325989,1969,40,63751,1739,68
11/08/2021,430,1625456,,36157,5489,103,584,13539,5489,1583810,1575760,1582029,5489,326472,2184,51,63906,1740,160
12/08/2021,744,1626594,,36243,5744,276,1128,13306,5744,1584607,1577045,1582781,5744,326782,2193,108,64011,1748,123
13/08/2021,578,1627428,,36287,6105,226,882,12799,6105,1585036,1578342,1583180,6105,327040,2168,78,64087,1752,95
14/08/2021,541,1628293,,36331,5854,266,877,12522,5854,1586108,1579440,1584227,5854,327283,2087,70,64167,1755,91
15/08/2021,600,1629192,,36380,5728,234,904,12250,5728,1587084,1580562,1585156,5728,327515,2036,70,64261,1757,99
16/08/2021,449,1629932,,36420,5573,216,754,12080,5573,1587939,1581432,1585995,5573,327605,1885,89,64321,1759,73
17/08/2021,278,1630330,,36438,5160,92,405,11873,5160,1588732,1582019,1586798,5160,327675,1724,35,64357,1763,45
18/08/2021,399,1630831,,36456,4812,84,503,11648,4812,1589563,1582727,1587619,4812,328042,1865,20,64491,1766,139
19/08/2021,584,1631689,,36524,4933,263,899,11300,4933,1590232,1583865,1588236,4933,328303,1931,52,64571,1768,85
20/08/2021,514,1632441,,36566,5324,203,763,10870,5324,1590551,1585005,1588536,5324,328515,1975,46,64649,1770,85
21/08/2021,476,1633153,,36605,5024,173,698,10644,5024,1591524,1585904,1589484,5024,328746,1909,49,64728,1772,87
22/08/2021,429,1633816,,36650,4853,168,679,10453,4853,1592313,1586713,1590252,4853,328972,1880,82,64812,1776,94
23/08/2021,382,1634394,,36688,4625,154,591,10078,4625,1593081,1587628,1590973,4625,329054,1705,55,64847,1779,50
24/08/2021,245,1634774,,36701,4423,116,387,9951,4423,1593650,1588122,1591555,4423,329101,1535,26,64886,1778,45
25/08/2021,279,1635173,,36718,4115,85,392,9717,4115,1594340,1588738,1592238,4115,329476,1687,28,64969,1778,86
26/08/2021,505,1635958,,36778,4327,234,801,9364,4327,1594853,1589816,1592707,4327,329670,1643,62,65019,1782,66
27/08/2021,426,1636627,,36807,4453,189,672,9199,4453,1595367,1590621,1593188,4453,329867,1624,57,65087,1783,71
28/08/2021,376,1637234,,36841,4206,185,607,8941,4206,1596187,1591452,1593985,4206,330044,1546,46,65156,1783,69
29/08/2021,368,1637829,,36885,4143,177,603,8637,4143,1596801,1592307,1594585,4143,330220,1515,58,65233,1785,87
30/08/2021,295,1638330,,36923,3982,136,512,8398,3982,1597425,1593009,1595170,3982,330299,1382,81,65274,1784,50
31/08/2021,214,1638675,,36937,3749,71,315,8345,3749,1597989,1593393,1595747,3749,330275,1196,30,65330,1804,46
01/09/2021,267,1639123,,36945,3568,85,375,8292,3568,1598610,1593886,1596357,3568,330551,1311,23,65409,1805,87
02/09/2021,381,1639698,,36995,3648,175,594,8009,3648,1599055,1594694,1596763,3648,330787,1381,38,65443,1806,53
03/09/2021,321,1640192,,37041,3717,142,504,7751,3717,1599434,1595400,1597118,3717,330962,1343,41,65484,1809,51
04/09/2021,295,1640666,,37067,3486,144,477,7513,3486,1600113,1596086,1597772,3486,331157,1312,38,65536,1811,55
05/09/2021,261,1641091,,37090,3342,139,430,7275,3342,1600659,1596726,1598293,3342,331286,1265,30,65576,1810,48
06/09/2021,252,1641526,,37108,3235,138,435,7132,3235,1601183,1597286,1598800,3235,331327,1136,45,65604,1812,36
07/09/2021,156,1641791,,37115,3012,93,273,7017,3012,1601664,1597659,1599267,3012,331379,1043,24,65632,1814,34
08/09/2021,241,1642146,,37122,2910,87,358,6973,2910,1602114,1598051,1599708,2910,331601,1124,30,65698,1816,70
09/09/2021,316,1642646,,37159,2996,154,515,6688,2996,1602491,1598799,1600055,2996,331744,1126,45,65734,1817,49
10/09/2021,324,1643156,,37178,3156,150,518,6529,3156,1602822,1599449,1600353,3156,331878,1126,44,65791,1821,65
11/09/2021,310,1643630,,37201,3166,146,489,6396,3166,1603263,1600033,1600771,3166,332019,1081,33,65839,1824,64
12/09/2021,200,1644071,,37232,3061,151,449,6242,3061,1603778,1600597,1601269,3061,331995,917,98,65847,1827,17
13/09/2021,230,1644540,,37253,3160,147,426,6210,3160,1604127,1601077,1601589,3160,332214,999,49,65938,1827,47
14/09/2021,179,1644832,,37253,3086,100,297,6157,3086,1604493,1601422,1601955,3086,332256,930,18,65980,1827,47
15/09/2021,288,1645233,,37261,3026,91,408,6110,3026,1604946,1601862,1602392,3026,332485,1026,29,66058,1829,86
16/09/2021,352,1645820,,37293,3223,187,604,6122,3223,1605304,1602405,1602703,3223,332654,1087,65,66103,1829,60
17/09/2021,351,1646403,,37318,3460,181,594,6211,3460,1605625,1602874,1603006,3460,332800,1117,62,66158,1830,67
18/09/2021,349,1646994,,37339,3507,190,610,6328,3507,1606148,1603327,1603507,3507,332882,1062,71,66196,1833,56
19/09/2021,283,1647469,,37359,3504,168,491,6378,3504,1606606,1603732,1603934,3504,332941,1000,40,66234,1833,53
20/09/2021,198,1647746,,37367,3343,62,280,6220,3343,1607036,1604159,1604353,3343,332994,906,20,66277,1834,46
21/09/2021,207,1648026,,37374,3246,57,291,6235,3246,1607406,1604417,1604718,3246,333045,836,27,66327,1835,64
22/09/2021,391,1648550,,37379,3297,84,526,6404,3297,1607874,1604767,1605171,3297,333359,1033,51,66460,1837,136
23/09/2021,583,1649409,,37410,3675,218,886,6763,3675,1608324,1605236,1605568,3675,333577,1134,85,66532,1840,99
24/09/2021,532,1650238,,37423,4075,245,852,7082,4075,1608740,1605733,1605948,4075,333800,1264,75,66597,1843,88
25/09/2021,493,1650985,,37432,4237,211,783,7355,4237,1609316,1606198,1606490,4237,334046,1386,79,66671,1846,100
26/09/2021,485,1651750,,37440,4486,206,775,7679,4486,1609824,1606631,1606961,4486,334328,1533,84,66735,1848,81
27/09/2021,424,1652364,,37445,4526,156,640,7824,4526,1610393,1607095,1607496,4526,334396,1468,60,66775,1849,64
28/09/2021,250,1652795,,37449,3851,102,454,7963,3851,1611495,1607383,1608584,3851,334338,1171,102,66769,1850,18
29/09/2021,385,1653406,,37455,4021,103,525,8173,4021,1611930,1607778,1609007,4021,334695,1407,37,66915,1850,116
30/09/2021,532,1654264,,37468,4295,287,895,8444,4295,1612501,1608352,1609512,4295,334924,1444,76,66979,1851,101
01/10/2021,548,1655071,,37476,4269,230,846,8668,4269,1613326,1608927,1610314,4269,335168,1448,68,67042,1855,103
02/10/2021,525,1655884,,37484,4334,240,853,8890,4334,1614066,1609510,1611035,4334,335375,1460,88,67092,1856,89
03/10/2021,486,1656602,,37494,4367,191,752,9133,4367,1614741,1609975,1611676,4367,335389,1417,75,67143,1861,86
04/10/2021,396,1657256,,37500,4311,195,673,9510,4311,1615445,1610246,1612348,4311,335593,1304,82,67181,1861,53
05/10/2021,351,1657749,,37506,4110,100,503,9723,4110,1616133,1610520,1613029,4110,335686,1226,52,67261,1864,93
06/10/2021,503,1658444,,37512,4293,131,714,9894,4293,1616639,1611038,1613524,4293,335985,1336,80,67418,1863,176
07/10/2021,639,1659386,,37533,4607,217,981,9977,4607,1617246,1611876,1614090,4607,336231,1417,125,67502,1863,121
08/10/2021,684,1660372,,37542,4725,232,1037,10134,4725,1618105,1612696,1614917,4725,336468,1420,121,67577,1866,126
09/10/2021,674,1661370,,37554,4968,239,1033,10385,4968,1618848,1613431,1615629,4968,336716,1503,120,67714,1869,171
10/10/2021,732,1662433,,37564,5290,265,1105,10683,5290,1619579,1614186,1616329,5290,336937,1531,108,67853,1872,182
11/10/2021,629,1663383,,37571,5496,249,996,11019,5496,1620316,1614793,1617035,5496,336993,1437,118,67898,1872,90
12/10/2021,414,1663992,,37574,5335,133,634,11197,5335,1621083,1615221,1617792,5335,337089,1356,87,67983,1877,110
13/10/2021,577,1664725,,37578,5339,117,766,11319,5339,1621808,1615828,1618500,5339,337229,1312,72,68111,1878,162
14/10/2021,831,1665916,,37583,5808,233,1223,11652,5808,1622525,1616681,1619203,5808,337643,1537,159,68341,1879,261
15/10/2021,1063,1667547,,37594,6322,418,1703,12476,6322,1623631,1617477,1620240,6322,337980,1670,222,68512,1882,244
16/10/2021,1104,1669236,,37597,6992,412,1774,13352,6992,1624647,1618287,1621210,6992,338271,1762,258,68671,1883,243
17/10/2021,972,1670750,,37609,7504,377,1562,14148,7504,1625637,1618993,1622168,7504,338577,1880,213,68855,1887,235
18/10/2021,841,1672065,,37620,7789,333,1357,14809,7789,1626656,1619636,1623157,7789,338732,1838,183,68996,1891,183
19/10/2021,682,1672998,,37623,7690,201,966,15249,7690,1627685,1620126,1624180,7690,338901,1835,83,69159,1894,197
20/10/2021,898,1674226,,37628,7934,173,1206,15782,7934,1628664,1620816,1625139,7934,339399,2141,135,69405,1893,292
21/10/2021,1198,1676019,,37640,8591,423,1842,16633,8591,1629788,1621746,1626200,8591,339835,2362,221,69648,1896,294
22/10/2021,1383,1678023,,37651,9341,493,2086,17651,9341,1631031,1622721,1627411,9341,340266,2526,210,69868,1897,300
23/10/2021,1303,1680017,,37662,9570,498,2056,18647,9570,1632785,1623708,1629125,9570,340474,2587,255,70092,1900,286
24/10/2021,1266,1681828,,37669,9849,402,1882,19395,9849,1634310,1624764,1630613,9849,340836,2694,214,70297,1906,277
25/10/2021,1062,1683451,,37685,9973,422,1677,20068,9973,1635793,1625698,1632077,9973,340955,2498,193,70446,1908,204
26/10/2021,835,1684608,,37691,9674,245,1201,20616,9674,1637243,1626301,1633518,9674,341155,2373,121,70627,1910,224
27/10/2021,1288,1686318,,37697,10025,293,1753,21593,10025,1638596,1627028,1634860,10025,341680,2562,172,70980,1912,397
28/10/2021,1437,1688454,,37719,10800,476,2205,22538,10800,1639935,1628197,1636151,10800,342213,2804,292,71287,1915,377
29/10/2021,1643,1690735,,37729,11113,514,2379,23188,11113,1641893,1629818,1638077,11113,342642,2818,222,71558,1922,370
30/10/2021,1427,1692877,,37743,11388,521,2230,23641,11388,1643746,1631493,1639895,11388,343091,2878,282,71793,1926,324
31/10/2021,1421,1695048,,37757,11620,537,2250,24298,11620,1645671,1632993,1641786,11620,343438,2992,292,72013,1930,300
01/11/2021,1149,1696786,,37777,11602,412,1806,24721,11602,1647407,1634288,1643486,11602,343580,2786,245,72148,1933,203
02/11/2021,932,1698127,,37782,11169,283,1390,25129,11169,1649176,1635216,1645245,11169,343714,2593,175,72305,1936,207
03/11/2021,1000,1699427,,37790,10801,248,1360,25201,10801,1650836,1636436,1646888,10801,343858,2434,112,72553,1936,307
04/11/2021,1507,1701316,,37794,11141,250,1953,25297,11141,1652381,1638225,1648422,11141,344482,2726,196,72955,1940,469
05/11/2021,1760,1703826,,37814,11291,570,2601,25803,11291,1654721,1640209,1650696,11291,345136,2937,271,73324,1942,459
06/11/2021,1875,1706622,,37841,11896,677,2895,26605,11896,1656885,1642176,1652817,11896,345673,3127,343,73676,1941,450
07/11/2021,1797,1709189,,37862,12516,632,2682,27361,12516,1658811,1643966,1654720,12516,346198,3272,253,73946,1947,386
08/11/2021,1570,1711442,,37879,12717,575,2367,27991,12717,1660846,1645572,1656720,12717,346375,3142,222,74120,1958,288
09/11/2021,1251,1713188,,37883,12588,395,1800,28580,12588,1662717,1646725,1658579,12588,346635,3055,154,74349,1960,281
10/11/2021,1710,1715352,,37895,13261,342,2229,29034,13261,1664196,1648423,1660049,13261,347512,3559,177,74764,1963,483
11/11/2021,1848,1718085,,37917,14291,707,2833,29631,14291,1665877,1650537,1661679,14291,348223,3929,278,75079,1965,415
12/11/2021,1896,1721025,,37936,14913,724,2950,30290,14913,1668176,1652799,1663940,14913,348794,4027,330,75381,1967,388
13/11/2021,1790,1723728,,37951,14971,644,2712,30851,14971,1670806,1654926,1666545,14971,349404,4083,278,75723,1979,419
14/11/2021,1811,1726481,,37975,15109,683,2835,31433,15109,1673397,1657073,1669109,15109,349919,4098,341,75983,1986,344
15/11/2021,1476,1728767,,38001,14909,616,2377,31981,14909,1675857,1658785,1671535,14909,350113,3819,285,76132,2005,240
16/11/2021,1196,1730456,,38005,14264,353,1741,32329,14264,1678187,1660122,1673856,14264,350217,3395,192,76318,2006,237
17/11/2021,1541,1732576,,38016,14306,381,2104,33149,14306,1680254,1661411,1675915,14306,350951,3580,182,76690,2009,424
18/11/2021,1716,1735187,,38049,14715,663,2640,33871,14715,1682423,1663267,1678015,14715,351443,3594,261,76967,2009,366
19/11/2021,1784,1737885,,38079,14508,656,2679,34059,14508,1685298,1665747,1680853,14508,351775,3340,239,77269,2015,367
20/11/2021,1838,1740496,,38094,14398,602,2696,33874,14398,1688004,1668528,1683538,14398,352183,3229,256,77568,2017,385
21/11/2021,1844,1743137,,38117,14594,641,2711,33948,14594,1690426,1671072,1685925,14594,352628,3145,226,77887,2022,390
22/11/2021,1469,1745305,,38149,14472,565,2252,33863,14472,1692684,1673293,1688158,14472,352743,2838,218,78080,2028,276
23/11/2021,1221,1747065,,38161,13592,352,1700,33877,13592,1695312,1675027,1690773,13592,352830,2543,127,78325,2031,297
24/11/2021,1518,1749099,,38175,13659,306,1937,33747,13659,1697265,1677177,1692719,13659,353443,2791,113,78774,2035,504
25/11/2021,1754,1751769,,38218,14393,656,2641,33684,14393,1699158,1679867,1694568,14393,355704,2409,231,86862,2043,467
26/11/2021,1709,1754443,,38245,14250,709,2692,33418,14250,1701948,1682780,1697385,14250,355625,1967,274,87313,2052,472
27/11/2021,1759,1757077,,38282,14448,640,2667,33349,14448,1704347,1685446,1699765,14448,355503,1531,268,87762,2059,482
28/11/2021,1517,1759405,,38313,14433,638,2361,32924,14433,1706659,1688168,1701981,14433,355402,1118,206,88147,2067,416
29/11/2021,1211,1761365,,38343,14101,545,1979,32598,14101,1708921,1690424,1704210,14101,355295,758,223,88378,2074,251
